': monkey-chatter
'Барберри': burberry
'Мьюзек': Muzak
'афро': Afro
'бритый': shaveling
'девичник': hen-party
'доулас': dowlas
'жучок': tipster
'заяц': gate-crasher
'крюк': rocking-turn
'куку': peek-a-boo
'легавый': nark
'опарт': opart
'петушок': cockalorum
'помогите': Mayday
'поп'-оркестр: pops
'розовый': pinko
'ручеек': thread-needle
'саквояжник': carpet-bagger
'утка': canard
'уходят': exeunt
'чемперти': champerty
'чистильщик': sweeper
'яппи': yuppie
4to: quarto
BO: bo
Bs: b
East: E.
Js: j
Ls: l
Ms: m
Os: o
Ps: p
Rs: r
The: Porte
The: Grail
Ts: t
Vs: v
Whit: whit
Ws: w
Xs: x
Y-образный: Y-shaped
arose: arise
at: breakneck
ate: eat
autos-da-fe: auto-da-fe
awoke: awake
backbit: backbite
became: become
beeves: beef
befell: befall
begot: beget
bespoke: bespeak
better: good
centigram: cg
decigram: dg
economics: econ
erven: erf
farther: far
fellaheen: fellah
femora: femur
fine-drew: fine-draw
forbad: forbid
foreknew: foreknow
foresaw: foresee
forgave: forgive
forgot: forget
forsook: forsake
forswore: forswear
forwent: forgo
froze: freeze
got: get
gram: g.
grew: grow
heavy-duty: HD
ibices: ibex
illustration: ill.
imbrices: imbrex
jinn: jinnee
jura: jus
later: late
less: little
letter: marque
li: nautilus
men-at-arms: man-at-arms
menisci: meniscus
misbecame: misbecome
misgave: misgive
mo!: mo
more: much
more: many
net: n.
newpennies: newpenny
nidi: nidus
older: old
only: kendo
persona: persona
retired: retd
retired: ret
ria: honorarium
s-o-b's: s-o-b
sanskr.: Krishna
spoke: speak
surface-to-air: surface-to-air
surface-to-surface: surface-to-surface
viz.: videlicet
was: be
went: go
worse: badly
worse: bad
{см.: betwixt
Абердин: Aberdeen
Авад: Abaddon
Август: August
Авель: Abel
Аврора: Aurora
Австралия: Australia
Австрия: Austria
Агата: Agatha
Агнесса: Agnes
Ада: Ada
Адальберт: Adalbert
Адам: Adam
Адонис: Adonis
Адриан: Adrian
Азербайджан: Azerbaijan
Азия: Asia
Айдахо: Idaho
Айзек: Isaac
Айова: Iowa
Айра: Ira
Айрин: Irene
Алабама: Alabama
Алан: Alan
Албания: Albania
Александр: Alexander
Алжир: Algeria
Аллан: Allan
Алоиз: Aloys
Алтай: Altai
Альберт: Albert
Альбион: Albion
Альпы: Alps
Альфред: Alfred
Аляска: Alaska
Амабель: Amabel
Амелия: Amelia
Америка: America
Англия: England
Англия: Blighty
Англси: Anglesey
Ангола: Angola
Ангус: Angus
Анджелина: Angelina
Андорра: Andorra
Андромаха: Andromache
Анды: Andes
Анжелика: Angelica
Анна: Anna
Антей: Antaeus
Антрим: Antrim
Антуанетта: Antoinette
Апеннины: Apennines
Аполлон: Apollo
Арабелла: Arabella
Арарат: Ararat
Аргентина: Argentina
Аргус: Argus
Аризона: Arizona
Арканзас: Arkansas
Арма: Armagh
Армения: Armenia
Арнольд: Arnold
Артемида: Artemis
Артур: Arthur
Арчибальд: Archibald
Ассам: Assam
Ассирия: Assyria
Атенеум: athenaeum
Афганистан: Afghanistan
Афина: Athena
Африка: Africa
